Product,Pcs,Online MRP,Vibe Music Website,07-07-2026 Discount
ADEON ADM - 01,361 pcs,1012.00,890.56,12%
ADEON ACON,165 pcs,3712.00,3266.56,12%
ADEON AD - 15,89 pcs,37950.00,33396.00,12%
ADEON AMS - 84F,61 pcs,24300.00,21384.00,12%
ADEON  AD- 12,45 pcs,35310.00,31072.80,12%
AVUS NEO GOLD,490 pcs,8775.00,7722.00,12%
"AVUS ORLIN 8""",86 pcs,3712.50,3267.00,12%
"AVUS CRYSTONE 8""",84 pcs,2970.00,2613.60,12%
"AVUS THEO 8""",80 pcs,4286.25,3771.90,12%
AVUS CLAPSTA,67 pcs,21114.00,18580.32,12%
"AVUS CRYSTONE 6""",60 pcs,2565.00,2257.20,12%
AVUS GENEXT,34 pcs,27945.00,24591.60,12%
"AVUS  ZAPCRASH 16""",33 pcs,13668.75,12028.50,12%
"AVUS  HATHOR 16""",24 pcs,12757.50,11226.60,12%
"AVUS ZAPCRASH 12""",22 pcs,9416.25,8286.30,12%
"AVUS  DAZYAN 18""",21 pcs,24300.00,21384.00,12%
"AVUS  DISTACK 10""",20 pcs,13972.50,12295.80,12%
HERTZ DG - 20,800 pcs,6000,5340.00,11%
HERTZ HZA - 3900,267 pcs,8068.50,7100.28,12%
HERTZ HZA - UK(24),176 pcs,4592.50,4041.40,12%
HERTZ HZA - 4060,123 pcs,12705.00,11180.40,12%
HERTZ DG - 40,100 pcs,11040,9825.60,11%
HERTZ HZA - 3600,36 pcs,8662.50,7623.00,12%
HERTZ HZA - 4040EQ,13 pcs,10153.00,8934.64,12%
