model,originalPrice,price,stock,sku
ADM01,1012.00,890.56,361,VM-ADM01
ACON,3712.00,3266.56,165,VM-ACON
AD15DSP,37950.00,33396.00,89,VM-AD15DSP
AMS84F,24300.00,21384.00,61,VM-AMS84F
AD12 DSP,35310.00,31072.80,45,VM-AD12DSP
NEO GOLD,8775.00,7722.00,490,VM-NEOGOLD
ZGEN,27945.00,24591.60,34,VM-ZGEN
AVUS ORLIN 8",3712.50,3267.00,86,
AVUS CRYSTONE 8",2970.00,2613.60,84,VM-AVUSCRYSTONE8
AVUS THEO 8",4286.25,3771.90,80,VM-AVUSTHEO8
CLAPSTA,21114.00,18580.32,67,VM-CLAPSTA
AVUS CRYSTONE 6",2565.00,2257.20,60,VM-AVUSCRYSTONE6
AVUS ZAPCRASH 16",13668.75,12028.50,33,VM-AVUSZAPCRASH16
AVUS HATHOR 16",12757.50,11226.60,24,VM-AVUSHATHOR16
AVUS ZAPCRASH 12",9416.25,8286.30,22,
AVUS DAZYAN 18",24300.00,21384.00,21,VM-AVUSDAZYAN18
AVUS DISTACK 10",13972.50,12295.80,20,VM-AVUSDISTACK10
DG 20,6000.00,5340.00,800,VM-DG20
HZA - 3900,8068.50,7100.28,267,VM-HZA3900EQ
HZA - UK(24),4592.50,4041.40,176,VM-HZAUK24
HZA - 4060,12705.00,11180.40,123,VM-HZA4060
DG 40,11040.00,9825.60,100,VM-DG40
HZA - 3600,8662.50,7623.00,36,VM-HZA3600
HZA - 4040EQ,10153.00,8934.64,13,VM-HZA4040EQ
# The following source rows do not have matching catalog products yet:
# AVUS ORLIN 8" (no standalone product record found)
# AVUS ZAPCRASH 12" (no standalone product record found)
